,Couple family without children,Couple family with children,One parent family,Other family,Total families,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),Total families (%)
Abbotsbury,200.0,774.0,127.0,7.0,1108.0,18.1,69.9,11.5,0.6,--
Australia,1943643.0,2362582.0,823254.0,89686.0,5219165.0,37.2,45.3,15.8,1.7,--
Abbotsford,584.0,528.0,178.0,33.0,1323.0,44.1,39.9,13.5,2.5,--
Acacia Gardens,228.0,556.0,81.0,11.0,876.0,26.0,63.5,9.2,1.3,--
Adamstown,490.0,527.0,277.0,39.0,1333.0,36.8,39.5,20.8,2.9,--
Adamstown Heights,650.0,685.0,180.0,8.0,1523.0,42.7,45.0,11.8,0.5,--
Airds,114.0,299.0,512.0,13.0,938.0,12.2,31.9,54.6,1.4,--
Albion Park,872.0,1757.0,456.0,22.0,3107.0,28.1,56.5,14.7,0.7,--
Albion Park Rail,629.0,878.0,404.0,18.0,1929.0,32.6,45.5,20.9,0.9,--
Alexandria,850.0,340.0,140.0,54.0,1384.0,61.4,24.6,10.1,3.9,--
Alfords Point,199.0,641.0,58.0,4.0,902.0,22.1,71.1,6.4,0.4,--
Allambie Heights,582.0,937.0,222.0,17.0,1758.0,33.1,53.3,12.6,1.0,--
Allawah,446.0,582.0,254.0,39.0,1321.0,33.8,44.1,19.2,3.0,--
Ambarvale,405.0,965.0,566.0,26.0,1962.0,20.6,49.2,28.8,1.3,--
Annandale,942.0,726.0,232.0,58.0,1958.0,48.1,37.1,11.8,3.0,--
Argenton,136.0,142.0,85.0,6.0,369.0,36.9,38.5,23.0,1.6,--
Arncliffe,651.0,1106.0,302.0,54.0,2113.0,30.8,52.3,14.3,2.6,--
Artarmon,921.0,918.0,247.0,79.0,2165.0,42.5,42.4,11.4,3.6,--
Ashbury,243.0,514.0,112.0,7.0,876.0,27.7,58.7,12.8,0.8,--
Ashcroft,169.0,358.0,238.0,14.0,779.0,21.7,46.0,30.6,1.8,--
Ashfield,1973.0,2101.0,798.0,188.0,5060.0,39.0,41.5,15.8,3.7,--
Asquith,273.0,470.0,110.0,18.0,871.0,31.3,54.0,12.6,2.1,--
Auburn,1651.0,3964.0,1167.0,179.0,6961.0,23.7,56.9,16.8,2.6,--
Austinmer,214.0,319.0,79.0,3.0,615.0,34.8,51.9,12.8,0.5,--
Avoca Beach,376.0,558.0,178.0,16.0,1128.0,33.3,49.5,15.8,1.4,--
Balgowlah,658.0,797.0,263.0,31.0,1749.0,37.6,45.6,15.0,1.8,--
Balgowlah Heights,257.0,530.0,73.0,3.0,863.0,29.8,61.4,8.5,0.3,--
Balgownie,603.0,771.0,191.0,18.0,1583.0,38.1,48.7,12.1,1.1,--
Balmain,1140.0,865.0,311.0,66.0,2382.0,47.9,36.3,13.1,2.8,--
Balmain East,222.0,163.0,38.0,6.0,429.0,51.7,38.0,8.9,1.4,--
Bangor,368.0,912.0,157.0,5.0,1442.0,25.5,63.2,10.9,0.3,--
Banksia,284.0,402.0,130.0,20.0,836.0,34.0,48.1,15.6,2.4,--
Bankstown,1601.0,3446.0,1403.0,154.0,6604.0,24.2,52.2,21.2,2.3,--
Bar Beach,116.0,117.0,56.0,7.0,296.0,39.2,39.5,18.9,2.4,--
Barden Ridge,170.0,791.0,116.0,10.0,1087.0,15.6,72.8,10.7,0.9,--
Bardwell Park,217.0,359.0,68.0,14.0,658.0,33.0,54.6,10.3,2.1,--
Bardwell Valley,151.0,274.0,88.0,5.0,518.0,29.2,52.9,17.0,1.0,--
Barnsley,145.0,265.0,94.0,3.0,507.0,28.6,52.3,18.5,0.6,--
Barrack Heights,593.0,787.0,391.0,20.0,1791.0,33.1,43.9,21.8,1.1,--
Barrack Point,64.0,57.0,17.0,3.0,141.0,45.4,40.4,12.1,2.1,--
Bass Hill,501.0,952.0,361.0,29.0,1843.0,27.2,51.7,19.6,1.6,--
Bateau Bay,1268.0,1241.0,602.0,34.0,3145.0,40.3,39.5,19.1,1.1,--
Baulkham Hills,3348.0,5357.0,1087.0,105.0,9897.0,33.8,54.1,11.0,1.1,--
Bayview,352.0,386.0,59.0,7.0,804.0,43.8,48.0,7.3,0.9,--
Beacon Hill,514.0,998.0,194.0,17.0,1723.0,29.8,57.9,11.3,1.0,--
Beaconsfield,73.0,58.0,17.0,6.0,154.0,47.4,37.7,11.0,3.9,--
Beecroft,780.0,1379.0,230.0,24.0,2413.0,32.3,57.1,9.5,1.0,--
Belfield,409.0,821.0,270.0,31.0,1531.0,26.7,53.6,17.6,2.0,--
Bella Vista,380.0,1187.0,103.0,11.0,1681.0,22.6,70.6,6.1,0.7,--
Bellambi,342.0,396.0,377.0,21.0,1136.0,30.1,34.9,33.2,1.8,--
Bellevue Hill,933.0,1038.0,269.0,50.0,2290.0,40.7,45.3,11.7,2.2,--
Belmont,731.0,709.0,296.0,30.0,1766.0,41.4,40.1,16.8,1.7,--
Belmont North,580.0,706.0,275.0,16.0,1577.0,36.8,44.8,17.4,1.0,--
Belmont South,122.0,119.0,88.0,7.0,336.0,36.3,35.4,26.2,2.1,--
Belmore,890.0,1544.0,559.0,80.0,3073.0,29.0,50.2,18.2,2.6,--
Belrose,846.0,1236.0,216.0,25.0,2323.0,36.4,53.2,9.3,1.1,--
Bensville,217.0,466.0,80.0,6.0,769.0,28.2,60.6,10.4,0.8,--
Berala,480.0,1147.0,362.0,46.0,2035.0,23.6,56.4,17.8,2.3,--
Berkeley,616.0,865.0,482.0,20.0,1983.0,31.1,43.6,24.3,1.0,--
Berkeley Vale,692.0,1016.0,444.0,23.0,2175.0,31.8,46.7,20.4,1.1,--
Berowra,335.0,727.0,124.0,0.0,1186.0,28.2,61.3,10.5,0.0,--
Berowra Heights,443.0,845.0,151.0,13.0,1452.0,30.5,58.2,10.4,0.9,--
Beverley Park,194.0,297.0,63.0,9.0,563.0,34.5,52.8,11.2,1.6,--
Beverly Hills,703.0,1138.0,330.0,40.0,2211.0,31.8,51.5,14.9,1.8,--
Bexley,1406.0,2496.0,661.0,83.0,4646.0,30.3,53.7,14.2,1.8,--
Bexley North,331.0,536.0,165.0,18.0,1050.0,31.5,51.0,15.7,1.7,--
Bidwill,170.0,392.0,505.0,20.0,1087.0,15.6,36.1,46.5,1.8,--
Birchgrove,418.0,376.0,109.0,16.0,919.0,45.5,40.9,11.9,1.7,--
Birmingham Gardens,195.0,165.0,78.0,6.0,444.0,43.9,37.2,17.6,1.4,--
Birrong,155.0,258.0,85.0,19.0,517.0,30.0,49.9,16.4,3.7,--
Blackalls Park,286.0,348.0,134.0,14.0,782.0,36.6,44.5,17.1,1.8,--
Blackbutt,274.0,438.0,123.0,4.0,839.0,32.7,52.2,14.7,0.5,--
Blackett,182.0,315.0,313.0,13.0,823.0,22.1,38.3,38.0,1.6,--
Blacksmiths,129.0,147.0,57.0,7.0,340.0,37.9,43.2,16.8,2.1,--
Blacktown,3117.0,4969.0,2065.0,229.0,10380.0,30.0,47.9,19.9,2.2,--
Blackwall,209.0,162.0,107.0,5.0,483.0,43.3,33.5,22.2,1.0,--
Blairmount,24.0,57.0,22.0,0.0,103.0,23.3,55.3,21.4,0.0,--
Blakehurst,446.0,790.0,154.0,25.0,1415.0,31.5,55.8,10.9,1.8,--
Blaxland,645.0,1026.0,267.0,16.0,1954.0,33.0,52.5,13.7,0.8,--
Blue Bay,120.0,63.0,56.0,3.0,242.0,49.6,26.0,23.1,1.2,--
Blue Haven,507.0,758.0,363.0,16.0,1644.0,30.8,46.1,22.1,1.0,--
Bolton Point,186.0,198.0,194.0,0.0,578.0,32.2,34.3,33.6,0.0,--
Bondi,892.0,630.0,259.0,63.0,1844.0,48.4,34.2,14.0,3.4,--
